"Additional Information","Additional Information"
"Additional Options","Additional Options"
"Bundle Products","Bundle Products"
"Configurable Options","Configurable Options"
"Details","Details"
"Quick Overview","Quick Overview"
"Custom Options","Custom Options"
"Optional Products","Optional Products"
"Center Header Text Content","Center Header Text Content"
"Default Font Color","Default Font Color"
"Default Font Family","Default Font Family"
"Default Font Size","Default Font Size"
"Footer Font Color","Footer Font Color"
"Footer Font Size","Footer Font Size"
"Footer Height","Footer Height"
"Footer Separator Color","Footer Separator Color"
"Footer Separator Thickness","Footer Separator Thickness"
"Front-end Settings","Front-end Settings"
"General PDF Settings","General PDF Settings"
"Header Separator Color","Header Separator Color"
"Header Separator Thickness","Header Separator Thickness"
"Header Text Font Color","Header Text Font Color"
"Header Text Font Size","Header Text Font Size"
"Left Header Text Content","Left Header Text Content"
"Logo Size","Logo Size"
"PDF Content Settings","PDF Content Settings"
"PDF Footer Settings","PDF Footer Settings"
"PDF Header Settings","PDF Header Settings"
"Page Title Font Color","Page Title Font Color"
"Page Title Font Size","Page Title Font Size"
"Product Page PDF","Product Page PDF"
"Right Header Text Content","Right Header Text Content"
"Show Additional Information","Show Additional Information"
"Show Center Header Text Column","Show Center Header Text Column"
"Show Configurable Options","Show Configurable Options"
"Show Custom Options","Show Custom Options"
"Show Footer","Show Footer"
"Show Footer Separator","Show Footer Separator"
"Show Header Separator","Show Header Separator"
"Show Left Header Text Column","Show Left Header Text Column"
"Show Pagination","Show Pagination"
"Show Product Details","Show Product Details"
"Show Product Images","Show Product Images"
"Show Product Page URL","Show Product Page URL"
"Show Product Price","Show Product Price"
"Show Quick Overview","Show Quick Overview"
"Show Right Header Text Column","Show Right Header Text Column"
"Show Store Name","Show Store Name"
"Show Timestamp","Show Timestamp"
"Store Name","Store Name"
"Store Name Font Color","Store Name Font Color"
"Store Name Font Size","Store Name Font Size"
"Subtitle Font Color","Subtitle Font Color"
"Subtitle Font Size","Subtitle Font Size"
