sku,attribute_set_code,product_type,categories,product_websites,name,description,weight,product_online,tax_class_name,visibility,price,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,qty,is_in_stock,website_id,additional_images,additional_image_labels,njm_sku,njm_name,dimensions
nl-000689,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair",base,Adams armchair,Our well padded Adams armchair features a modern silhouette and makes a comfortable seating option and accent chair for the home's living area. It is available in two wool blend upholstery options of dark grey (with matte black legs) or navy blue (with chrome legs).,100,1,Taxable Goods,"Catalog, Search",1229,Adams-armchair.jpg,,Adams-armchair.jpg,,Adams-armchair.jpg,,1000,1,0,,,18N-HGSC116,knickerbocker armchair,"32¾"" x 35""½"" x 32¾"""
nl-000687,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair",base,Addison armchair,"Available in three upholstery shades, our Addison armchair and sofa offer practical and comfortable options for the modern living room seating area. The compact Addison armchair sits on legs of brushed stainless steel.",100,1,Taxable Goods,"Catalog, Search",1099,Addison-armchair.jpg,,Addison-armchair.jpg,,Addison-armchair.jpg,,1000,1,0,,,18N-HGSC105,kingston armchair,"30¾"" x 35"" x 33""½"""
nl-000688,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Style Sofas",base,Addison sofa,"Available in three upholstery shades, our Addison armchair and sofa offer practical and comfortable options for the modern living room seating area. The compact Addison sofa sits on legs of brushed stainless steel.",175,1,Taxable Goods,"Catalog, Search",2099,Addison-sofa.jpg,,Addison-sofa.jpg,,Addison-sofa.jpg,,1000,1,0,Addison-sofa1.jpg,,18N-HGSC108,kingston sofa,"86""½"" x 35"" x 33""½"""
bg-000070,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Case Goods",base,Airmont sideboard,"The Airmont sideboard is made of teak wood, featuring high quality handmade craftsmanship. Architecturally clean and simple lines, detailed handles and defined drawers make this piece timeless by design. Plenty of interior storage and adjustable shelving makes it highly versatile in use. 
<br>Teak: We use reclaimed teak as material for making our sideboards, in addition to superior quality wood, using these materials are very useful in the problem of global climate changes. As well as being environmentally friendly. All the teak wood is individual to the piece and no two pieces are alike.",150,1,Taxable Goods,"Catalog, Search",2699,Airmont-sideboard.jpg,,Airmont-sideboard.jpg,,Airmont-sideboard.jpg,,1000,1,0,"Airmont-sideboard1.jpg,Airmont-sideboard2.jpg,Airmont-sideboard3.jpg,Airmont-sideboard4.jpg,Airmont-sideboard5.jpg,Airmont-sideboard6.jpg",,02B-BG381,prospect sideboard,69w x 18d x 30h
tf-001049,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair",base,Akron amrchair,"A+D Modern's Akron armchair is both easy and inviting with clean lines that create an instantly modern look. Upholstered in an elegant, shimmering, metallic linen and completed with a geometric pattern lumbar cushion, its sophisticated golden stainless steel frame looks sensational from any angle. Also available in luxurious pink or gray velvet, with accompanying cushion.",65,1,Taxable Goods,"Catalog, Search",999,Akron-amrchair.jpg,,Akron-amrchair.jpg,,Akron-amrchair.jpg,,1000,1,0,"Akron-amrchair1.jpg,Akron-amrchair2.jpg,Akron-amrchair3.jpg,Akron-amrchair4.jpg,Akron-amrchair5.jpg",,25T-TOV-S6103,martense armchair,"27""W x 34""D x 31""H"
zm-001215,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Alabama accent chair,A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. The gently sloped angles of our Alabama accent chair offer a comfortably versatile seating option for a range of spaces in your home.,38,1,Taxable Goods,"Catalog, Search",659,Alabama-accent-chair.jpg,,Alabama-accent-chair.jpg,,Alabama-accent-chair.jpg,,1000,1,0,"Alabama-accent-chair1.jpg,Alabama-accent-chair2.jpg,Alabama-accent-chair3.jpg,Alabama-accent-chair4.jpg,Alabama-accent-chair5.jpg",,29Z-100784,norwood accent chair,"W25"" x H26.4"" x L28.3"""
zm-001203,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Benches",base,Alabama bench,"A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. Our linear Alabama bench offers a versatile perching place for your home's entry way, mudroom, bedroom and more.",39,1,Taxable Goods,"Catalog, Search",459,Alabama-bench.jpg,,Alabama-bench.jpg,,Alabama-bench.jpg,,1000,1,0,"Alabama-bench1.jpg,Alabama-bench2.jpg",,29Z-100589,norwood bench,"W62.2 x H18.1 x L16.9"""
zm-001206,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Case Goods",base,Alabama buffet,"A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. The Alabama buffet's three cupboard doors offer ample storage to tidy away dinner pieces, books, toys and more, and works just as well in your dining room as your home office.",120,1,Taxable Goods,"Catalog, Search",1599,Alabama-buffet.jpg,,Alabama-buffet.jpg,,Alabama-buffet.jpg,,1000,1,0,"Alabama-buffet1.jpg,Alabama-buffet2.jpg,Alabama-buffet3.jpg,Alabama-buffet4.jpg,Alabama-buffet5.jpg,Alabama-buffet6.jpg",,29Z-100592,norwood buffet,"W59.8 x H31.5 x L18.1"""
zm-001204,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Tables,Default Category/Modern Furniture/Modern Tables/Coffee Tables",base,Alabama coffee table,A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. The Alabama coffee table's open shelf and sliding panel door provide versatile storage space for keeping your living room clutter-free and looking good.,75,1,Taxable Goods,"Catalog, Search",999,Alabama-coffee-table.jpg,,Alabama-coffee-table.jpg,,Alabama-coffee-table.jpg,,1000,1,0,"Alabama-coffee-table1.jpg,Alabama-coffee-table2.jpg,Alabama-coffee-table3.jpg,Alabama-coffee-table4.jpg,Alabama-coffee-table5.jpg,Alabama-coffee-table6.jpg,Alabama-coffee-table7.jpg,Alabama-coffee-table8.jpg",,29Z-100590,norwood coffee table,"W47.2 x H18.1 x L23.6"""
zm-001205,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Case Goods,Default Category/Modern Furniture/Modern Tables,Default Category/Modern Furniture/Modern Tables/Side Tables",base,Alabama console table,"A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. The Alabama console table's open shelving provides versatile storage space for displaying books, home decor, and more, and works just as well in your living room as your home office.",58,1,Taxable Goods,"Catalog, Search",899,Alabama-console-table.jpg,,Alabama-console-table.jpg,,Alabama-console-table.jpg,,1000,1,0,"Alabama-console-table1.jpg,Alabama-console-table2.jpg,Alabama-console-table3.jpg,Alabama-console-table4.jpg",,29Z-100591,norwood console table,"W44.1 x H29.9 x L15"""
zm-001201,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Bedroom,Default Category/Modern Furniture/Modern Case Goods",base,Alabama double dresser,"A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. Six drawers with step profile recesses allow for easy opening and closing, while the iron-feet add a retro feature to the Alabama double dresser.",148,1,Taxable Goods,"Catalog, Search",1899,Alabama-double-dresser.jpg,,Alabama-double-dresser.jpg,,Alabama-double-dresser.jpg,,1000,1,0,"Alabama-double-dresser1.jpg,Alabama-double-dresser2.jpg,Alabama-double-dresser3.jpg,Alabama-double-dresser4.jpg,Alabama-double-dresser5.jpg",,29Z-100587,norwood double dresser,"W55.1 x H31.5 x L17.7"""
zm-001199,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Bedroom,Default Category/Modern Furniture/Modern Case Goods,Default Category/Modern Furniture/Modern Tables,Default Category/Modern Furniture/Modern Tables/Side Tables",base,Alabama end table,"A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. Two drawers with step profile recesses allow for easy opening and closing, while the iron-feet add a retro feature to the Alabama end table.",43,1,Taxable Goods,"Catalog, Search",559,Alabama-end-table.jpg,,Alabama-end-table.jpg,,Alabama-end-table.jpg,,1000,1,0,"Alabama-end-table1.jpg,Alabama-end-table2.jpg,Alabama-end-table3.jpg,Alabama-end-table4.jpg",,29Z-100585,norwood end table,"W21.7 x H19.7 x L16.5"""
zm-001202,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Tables,Default Category/Modern Furniture/Modern Tables/Dining Tables",base,Alabama extension dining table,"A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. The Alabama extension dining table offers the ultimate in versatility for entertaining small to large groups of guests, by adding additional surface area with its pocket butterfly extension mechanism.",160,1,Taxable Goods,"Catalog, Search",1599,Alabama-extension-dining-table.jpg,,Alabama-extension-dining-table.jpg,,Alabama-extension-dining-table.jpg,,1000,1,0,"Alabama-extension-dining-table1.jpg,Alabama-extension-dining-table2.jpg,Alabama-extension-dining-table3.jpg,Alabama-extension-dining-table4.jpg,Alabama-extension-dining-table5.jpg,Alabama-extension-dining-table6.jpg",,29Z-100588,norwood extension dining table,"W74.8 x H29.9 x L39.4"""
zm-001200,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Bedroom,Default Category/Modern Furniture/Modern Case Goods",base,Alabama high chest,"A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. Four drawers with step profile recesses allow for easy opening and closing, while the iron-feet add a retro feature to the Alabama high chest.",120,1,Taxable Goods,"Catalog, Search",1659,Alabama-high-chest.jpg,,Alabama-high-chest.jpg,,Alabama-high-chest.jpg,,1000,1,0,"Alabama-high-chest1.jpg,Alabama-high-chest2.jpg,Alabama-high-chest3.jpg,Alabama-high-chest4.jpg",,29Z-100586,norwood high chest,"W35.4 x H44.5 x L17.7"""
zm-001198,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Bedroom",base,Alabama platform bed,A rich chestnut finish on distressed acacia wood creates a rustic modern style in our Alabama furniture collection. The Alabama platform bed's broad plank headboard complements its iron-feet to offer designer looks for your sleeping space.,165,1,Taxable Goods,"Catalog, Search",1599,Alabama-platform-bed.jpg,,Alabama-platform-bed.jpg,,Alabama-platform-bed.jpg,,1000,1,0,"Alabama-platform-bed1.jpg,Alabama-platform-bed2.jpg,Alabama-platform-bed3.jpg,Alabama-platform-bed4.jpg,Alabama-platform-bed5.jpg,Alabama-platform-bed6.jpg",,29Z-100583,norwood platform bed,"Queen: W63.4 x H45.3 x L86.2""
<br />King: W79.5 x H45.3 x L86.2"""
