"Product Name","Product SKU","Template Name","Option Type","Option Title","Option ID","Option Value ID","Option Value Title",Price,"Price Type","Option Value SKU","Option Value Qty","Option Value Manage Stock","Option Value Cost","Option Value Description","Fast Ship","Custom Order","Tooltip Image","Tooltip Image Type","Base Image","Base Image Type","Images Data",mageworx_option_type_id
"Sandspoint tulip upholstered chair",ae-000016,,checkbox,"I have my own material/leather (COM/COL)",68704,398480,"Yes, I'd like to use my own material",15.0000,percent,,0.00,0,0.00,,0,1,,,,,,c33a9127-4b58-11e8-af31-0219d58c2290
"Sandspoint tulip upholstered chair",ae-000016,,checkbox,"Need It Faster? Rush Delivery Available.",68705,398481,Yes,75.0000,percent,,0.00,0,0.00,,0,1,,,,,,c33c61f3-4b58-11e8-af31-0219d58c2290
"Sandspoint tulip upholstered armchair",ae-000017,,checkbox,"I have my own material/leather (COM/COL)",68714,398533,"Yes, I'd like to use my own material",15.0000,percent,,0.00,0,0.00,,0,1,,,,,,c48d0401-4b58-11e8-af31-0219d58c2290
"Sandspoint tulip upholstered armchair",ae-000017,,checkbox,"Need It Faster? Rush Delivery Available.",68715,398534,Yes,75.0000,percent,,0.00,0,0.00,,0,1,,,,,,c48f51bc-4b58-11e8-af31-0219d58c2290
"Bellmont wire dining chair - color",ae-000023,,drop_down,Color,69992,405379,Blue,0.0000,fixed,,0.00,0,0.00,,0,1,,,,,,8936bb5f-53c0-11e8-af31-0219d58c2290
,,,drop_down,,69992,405380,Red,0.0000,fixed,,0.00,0,0.00,,0,1,,,,,,89374272-53c0-11e8-af31-0219d58c2290
,,,drop_down,,69992,405381,Yellow,0.0000,fixed,,0.00,0,0.00,,0,1,,,,,,8937c226-53c0-11e8-af31-0219d58c2290
,,,drop_down,,69992,405382,Black,0.0000,fixed,,0.00,0,0.00,,1,1,,,,,,893861b2-53c0-11e8-af31-0219d58c2290
,,,drop_down,,69992,405383,White,0.0000,fixed,,0.00,0,0.00,,1,1,,,,,,8938e41b-53c0-11e8-af31-0219d58c2290
"Angola loveseat",fm-000244,,drop_down,"Select a color",72586,419886,Black,0.0000,fixed,FMI1140-Black,0.00,0,0.00,,1,0,,,,,"[{""value"":""/f/m/fmi1140-black-wool.jpg"",""option_type_image_id"":""451949"",""title_text"":"""",""sort_order"":""1"",""base_image"":""0"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""0""}]",c8a775b0-4827-11e8-af31-0219d58c2290
,,,drop_down,,72586,419887,Red,0.0000,fixed,FMI1140-Red,0.00,0,0.00,,1,0,,,,,"[{""value"":""/f/m/fmi1140-red-wool.jpg"",""option_type_image_id"":""451950"",""title_text"":"""",""sort_order"":""1"",""base_image"":""0"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""0""}]",c8ad0f47-4827-11e8-af31-0219d58c2290
,,,drop_down,,72586,419888,White,0.0000,fixed,FMI1140-White,0.00,0,0.00,,1,0,,,,,"[{""value"":""/f/m/fmi1140-white-wool.jpg"",""option_type_image_id"":""451951"",""title_text"":"""",""sort_order"":""1"",""base_image"":""0"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""0""}]",c8adc2ba-4827-11e8-af31-0219d58c2290
"Otsego ball chair",mf-000369,,drop_down,"Select Combination",71093,410943,"Orange Gloss Fiberglass / Green ",0.0000,fixed,M68005,0.00,0,0.00,,1,0,,,,,,4624231d-5ac6-11e8-af31-0219d58c2290
,,,drop_down,,71093,410944,"White Gloss / Red Fabric",0.0000,fixed,M64019,0.00,0,0.00,,1,0,,,,,,46297abe-5ac6-11e8-af31-0219d58c2290
,,,drop_down,,71093,410945,"White Gloss / Black Fabric ",0.0000,fixed,F60999,0.00,0,0.00,,1,0,,,,,,462a1254-5ac6-11e8-af31-0219d58c2290
,,,drop_down,,71093,410946,"White Gloss / Orange Fighter ",0.0000,fixed,63044,0.00,0,0.00,,1,0,,,,,,462a9fc4-5ac6-11e8-af31-0219d58c2290
,,,drop_down,,71093,410947,"White Gloss Shell / Green Wool Fabric",0.0000,fixed,,0.00,0,0.00,,1,0,,,,,,462b3139-5ac6-11e8-af31-0219d58c2290
,,,drop_down,,71093,410948,"White Gloss / Blue Fabric ",0.0000,fixed,M66010,0.00,0,0.00,,1,0,,,,,,462bbf28-5ac6-11e8-af31-0219d58c2290
,,,drop_down,,71093,410949,"White Gloss / Green Fabric ",0.0000,fixed,M68005,0.00,0,0.00,,1,0,,,,,,462c4aaa-5ac6-11e8-af31-0219d58c2290
"Galen loveseat",mf-000419,,drop_down,"Select fabric color",69925,405033,Black,0.0000,fixed,,0.00,0,0.00,,1,0,,,,,,e4b45f5d-53b5-11e8-af31-0219d58c2290
,,,drop_down,,69925,405034,Red,0.0000,fixed,,0.00,0,0.00,,1,0,,,,,,e4b4f4a5-53b5-11e8-af31-0219d58c2290
"Woodstock lounge chair",nl-000595,,drop_down,"Select material",68477,397295,"Black Naugahyde",0.0000,fixed,,0.00,0,0.00,,1,0,,,,,,8278d228-520b-11e8-af31-0219d58c2290
,,,drop_down,,68477,397296,"Gray fabric",0.0000,fixed,,0.00,0,0.00,,1,0,,,,,,82796ec2-520b-11e8-af31-0219d58c2290
"Smith sofa",sb-000855,,checkbox,"I have my own material/leather (COM/COL)",70553,408334,"Yes, I'd like to use my own material",15.0000,percent,,0.00,0,0.00,,0,1,,,,,,7ccab6ee-4ed7-11e8-af31-0219d58c2290
"Smith sofa",sb-000855,,checkbox,"Need It Faster? Rush Delivery Available.",70554,408335,Yes,75.0000,percent,,0.00,0,0.00,,0,0,,,,,,7cccd4a6-4ed7-11e8-af31-0219d58c2290
"Warrens easy chair",sb-000887,,drop_down,"Select a color:",72828,420966,Gold,25.0000,percent,HP03-Gorse,0.00,0,0.00,,0,1,/customoptions/40/4249/1/Gold.jpg,image,/customoptions/40/4249/1/Gold.jpg,image,"[{""value"":""/customoptions/40/4249/1/Gold.jpg"",""option_type_image_id"":""452909"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",474fe45a-3f1b-11e8-af31-0219d58c2290
,,,drop_down,,72828,420967,Orange,25.0000,percent,HP08-Pollen,0.00,0,0.00,,0,1,/customoptions/40/4249/2/Orange.jpg,image,/customoptions/40/4249/2/Orange.jpg,image,"[{""value"":""/customoptions/40/4249/2/Orange.jpg"",""option_type_image_id"":""452910"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",4750b0ec-3f1b-11e8-af31-0219d58c2290
,,,drop_down,,72828,420968,Red,25.0000,percent,HP12-Alec,0.00,0,0.00,,0,1,/customoptions/40/4249/3/Red.jpg,image,/customoptions/40/4249/3/Red.jpg,image,"[{""value"":""/customoptions/40/4249/3/Red.jpg"",""option_type_image_id"":""452911"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",4751768f-3f1b-11e8-af31-0219d58c2290
,,,drop_down,,72828,420969,"Light gray",25.0000,percent,HP16-Dew,0.00,0,0.00,,0,1,/customoptions/40/4249/4/Light-gray.jpg,image,/customoptions/40/4249/4/Light-gray.jpg,image,"[{""value"":""/customoptions/40/4249/4/Light-gray.jpg"",""option_type_image_id"":""452912"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",4752430a-3f1b-11e8-af31-0219d58c2290
