"Product Name","Product SKU","Template Name","Option Title","Option ID","Option Value ID","Option Value Title",Price,"Price Type","Option Value SKU","Option Value Qty","Option Value Manage Stock","Option Value Cost","Option Value Description","Fast Ship","Custom Order"
"Elma Armchair",ae-000005,"ae | 01A Aeon 3: Standard Leather","Standard Leather ",86085,507724,Black,0.0000,fixed,01A-ML001-Black,0.00,0,0.00,,0,1
,,,,86085,507725,"Chocolate brown",0.0000,fixed,01A-ML025-Chocolate-Brown,0.00,0,0.00,,0,1
,,,,86085,507726,Brown,0.0000,fixed,01A-ML005-Brown,0.00,0,0.00,,0,1
,,,,86085,507727,"Dark red",0.0000,fixed,01A-ML023-Dark-Red,0.00,0,0.00,,0,1
,,,,86085,507728,Red,0.0000,fixed,01A-ML003-Red,0.00,0,0.00,,0,1
,,,,86085,507729,Beige,0.0000,fixed,01A-ML004-Beige,0.00,0,0.00,,0,1
,,,,86085,507730,"Cream white",0.0000,fixed,01A-ML002-Cream-White,0.00,0,0.00,,0,1
,,,,86085,507731,White,0.0000,fixed,01A-ML007-White,0.00,0,0.00,,0,1
"Elma Armchair",ae-000005,"sb | 22S Shenzhen Brother 5: Italian leather (standard)","Select a color",86084,507719,"Off White",25.0000,percent,"SC5200-off white",0.00,0,0.00,,0,1
,,,,86084,507720,Tan,25.0000,percent,B7007-tan,0.00,0,0.00,,0,1
,,,,86084,507721,Red,25.0000,percent,SC438-red,0.00,0,0.00,,0,1
,,,,86084,507722,Black,25.0000,percent,SC8816-black,0.00,0,0.00,,0,1
,,,,86084,507723,Brown,25.0000,percent,WJ630-brown,0.00,0,0.00,,0,1
"Elma Armchair",ae-000005,"aa | COM & RUSH","I Have My Own Material / Leather",86082,507717,"Yes, I'd like to use my own material",15.0000,percent,,0.00,0,0.00,,0,0
"Elma Armchair",ae-000005,"aa | COM & RUSH","Need It Faster? Rush Delivery",86083,507718,Yes,75.0000,percent,,0.00,0,0.00,,0,0
"Depeyster Dining Chair - Metal",ae-000006,"ae | 01A Aeon 7: plywood veneer","Wood Finish",86353,509013,Walnut,0.0000,fixed,,0.00,0,0.00,,0,1
,,,,86353,509014,Cherry,0.0000,fixed,,0.00,0,0.00,,0,1
,,,,86353,509015,Rosewood,0.0000,fixed,,0.00,0,0.00,,0,1
,,,,86353,509016,"White oak",0.0000,fixed,,0.00,0,0.00,,0,1
"Depeyster Dining Chair - Metal",ae-000006,"aa | COM & RUSH","I Have My Own Material / Leather",86351,509011,"Yes, I'd like to use my own material",15.0000,percent,,0.00,0,0.00,,0,0
"Depeyster Dining Chair - Metal",ae-000006,"aa | COM & RUSH","Need It Faster? Rush Delivery",86352,509012,Yes,75.0000,percent,,0.00,0,0.00,,0,0
"Deposit dining chair - padded",ae-000007,"ae | 01A Aeon 4: Cow Pony Hide Leather (premium)","Cow Hide Leather:",86900,511939,"Black, brown, white hair",0.0000,fixed,01A-ML008-Pony-A,0.00,0,0.00,,0,1
,,,,86900,511940,"Black and white hair",0.0000,fixed,01A-ML018-Pony-B,0.00,0,0.00,,0,1
,,,,86900,511941,"Brown and white hair",0.0000,fixed,01A-ML019-Pony-C,0.00,0,0.00,,0,1
"Deposit dining chair - padded",ae-000007,"ae | 01A Aeon 3: Standard Leather","Standard Leather ",86898,511927,Black,0.0000,fixed,01A-ML001-Black,0.00,0,0.00,,0,1
,,,,86898,511928,"Chocolate brown",0.0000,fixed,01A-ML025-Chocolate-Brown,0.00,0,0.00,,0,1
,,,,86898,511929,Brown,0.0000,fixed,01A-ML005-Brown,0.00,0,0.00,,0,1
,,,,86898,511930,"Dark red",0.0000,fixed,01A-ML023-Dark-Red,0.00,0,0.00,,0,1
,,,,86898,511931,Red,0.0000,fixed,01A-ML003-Red,0.00,0,0.00,,0,1
,,,,86898,511932,Beige,0.0000,fixed,01A-ML004-Beige,0.00,0,0.00,,0,1
,,,,86898,511933,"Cream white",0.0000,fixed,01A-ML002-Cream-White,0.00,0,0.00,,0,1
,,,,86898,511934,White,0.0000,fixed,01A-ML007-White,0.00,0,0.00,,0,1
"Deposit dining chair - padded",ae-000007,"ae | 01A Aeon 7: plywood veneer","Wood Finish",86899,511935,Walnut,0.0000,fixed,,0.00,0,0.00,,0,1
,,,,86899,511936,Cherry,0.0000,fixed,,0.00,0,0.00,,0,1
,,,,86899,511937,Rosewood,0.0000,fixed,,0.00,0,0.00,,0,1
,,,,86899,511938,"White oak",0.0000,fixed,,0.00,0,0.00,,0,1
